termino,definicion,formula,fuente,advertencia_interpretacion
TAC_M,Proporción ponderada de personas que reportan violencia visible contra una mujer y afrontamiento de la situación.,sum(fexp_calp_anu * afronto_M) / sum(fexp_calp_anu),"Encuesta de Percepción, bloque Mx404",Mide violencia socialmente visible y afrontada; no es prevalencia total de violencia.
IBA,Índice estandarizado de barreras percibidas de acceso a la denuncia.,-(z(IPSJ_A) + z(IPSJ_C) + z(IPSJ_E)) / 3,Encuesta de Percepción,Es un índice relativo; su lectura depende de la estandarización y no equivale a una escala clínica.
ICG_B,Puntaje de confianza vecinal o expectativa de ayuda de los vecinos.,promedio ponderado de ICG_B,Encuesta de Percepción,Confianza percibida no demuestra ayuda efectiva ni causalidad sobre la denuncia.
RC_admin,Razón de oferta institucional frente a casos capturados administrativamente.,oferta_total / casos_admin,"Línea Púrpura, Duplas y Riesgo de Feminicidio",Usa demanda registrada por el sistema; una razón alta no prueba cobertura de la necesidad total.
RC_real,Cota de cobertura frente al volumen mínimo observable de mujeres con violencia visible y afrontada.,oferta_total / vol_afronto_mujeres * 1000,Encuesta de Percepción y fuentes de oferta,"Es una cota de cobertura, no una tasa de atención de toda la violencia existente."
INA,Índice relativo de Necesidad No Atendida por localidad.,0.40*pct(TAC_M) + 0.30*pct(IBA) + 0.30*pct(-RC_real),Construcción analítica de Fase 5,Los pesos son decisiones explícitas; el ranking debe someterse a sensibilidad con pesos alternativos.
Cuadrante,Clasificación territorial según TAC_M y RC_real altos o bajos frente a sus medianas.,TAC alto >= mediana y cobertura alta >= mediana,Construcción analítica de Fase 5,Es una clasificación relativa: cambiar el universo o el periodo puede cambiar las medianas y las etiquetas.
factor_roles,Puntaje factorial territorial asociado a la dimensión empírica F1 de la Bienal.,promedio ponderado territorial de F1_z,Encuesta Bienal,La etiqueta conceptual es interpretativa; la estructura factorial observada no coincide perfectamente con la teoría.
factor_culpabilizacion,Puntaje territorial asignado al factor empírico F3 como proxy de culpabilización y actitudes afines.,promedio ponderado territorial de F3_z,Encuesta Bienal,F3 es un factor empírico mixto y no una escala pura de culpabilización.
factor_noinjerencia,Puntaje territorial asignado al factor empírico F2 como proxy de no-injerencia.,promedio ponderado territorial de F2_z,Encuesta Bienal,La no-injerencia no emergió como factor independiente; F2 mezcla control en pareja con otros ítems.
pct_acuerdo,Proporción de respuestas que indican acuerdo con un ítem de la Bienal.,sum(FACTOR * indicador(respuesta == 2)) / sum(FACTOR),Encuesta Bienal,Acuerdo con un enunciado no equivale automáticamente a conducta ni a violencia observada.
tasa_100k,Conteo de eventos normalizado por cada 100.000 mujeres.,valor / PobMujeres * 100000,Series administrativas T3,La tasa depende de la calidad del registro y del denominador poblacional; no es prevalencia.
pct_recepcion_nula,Proporción de incidentes sin fecha de recepción válida.,incidentes con RECEPCION nula / incidentes únicos,Llamadas 123,Un porcentaje alto limita la interpretación de tiempos de respuesta.
tiempo_respuesta_mediana,Mediana del tiempo entre inicio de desplazamiento móvil y recepción registrada.,mediana(RECEPCION - FECHA_INICIO_DESPLAZAMIENTO_MOVIL),Llamadas 123,Solo usa diferencias válidas entre 0 y 24 horas; no representa necesariamente el tiempo total de atención.
poblacion_expandida,Población representada por las observaciones mediante el factor de expansión.,sum(factor de expansión),Encuestas de Percepción y Bienal,"Es una estimación del universo representado, no un conteo de personas observadas."
IC95,Intervalo aproximado de incertidumbre al 95% alrededor de una estimación.,estimación +/- 1.96 * error estándar,Cálculos de cada tabla factual,Los IC de estas tablas usan aproximaciones; no sustituyen un diseño de varianza completo cuando aplica.
